subID,mfq.1,mfq.2,mfq.3,mfq.4,mfq.5,mfq.6,mfq.7,mfq.8,mfq.9,mfq.10,mfq.11,mfq.12,mfq.13,mfq.14,mfq.15,mfq.16,mfq.17,mfq.18,mfq.19,mfq.20,mfq.21,mfq.22,mfq.23,mfq.24,mfq.25,mfq.26,mfq.27,mfq.28,mfq.29,mfq.30,mfq.31,mfq.32,disgust.1,disgust.2,disgust.3,disgust.4,disgust.5,disgust.6,disgust.7,disgust.8,disgust.9,disgust.10,disgust.11,disgust.12,disgust.13,disgust.14,disgust.15,disgust.16,disgust.17,disgust.18,disgust.19,disgust.20,disgust.21,disgust.22,disgust.23,disgust.24,disgust.25,disgust.26,disgust.27,secs.1,secs.2,secs.3,secs.4,secs.5,secs.6,secs.7,secs.8,secs.9,secs.10,secs.11,secs.12,iri.1,iri.2,iri.3,iri.4,iri.5,iri.6,iri.7,iri.8,iri.9,iri.10,iri.11,iri.12,iri.13,iri.14,iri.15,iri.16,iri.17,iri.18,iri.19,iri.20,iri.21,iri.22,iri.23,iri.24,iri.25,iri.26,iri.27,iri.28
22,Very relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Not at all relevant,Very relevant,Extremely relevant,Very relevant,Slightly relevant,Somewhat relevant,Very relevant,Extremely relevant,Somewhat relevant,Very relevant,Slightly relevant,Moderately agree,Strongly agree,Strongly disagree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Slightly disagree,Slightly disagree,Slightly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Strongly agree,Strongly agree,Mildly agree,Very disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Very disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Slightly disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Moderately disgusting,50,92,70,82,96,50,95,75,100,74,76,8,E (Describes me very well),D,A (Does not describe me well),D,E (Describes me very well),C,B,C,D,B,D,A (Does not describe me well),B,B,B,D,C,A (Does not describe me well),C,D,C,D,D,A (Does not describe me well),A (Does not describe me well),E (Describes me very well),B,D
26,Very relevant,Very relevant,Not very relevant,Somewhat relevant,Slightly relevant,Not at all relevant,Very relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Very relevant,Extremely relevant,Slightly relevant,Somewhat relevant,Somewhat relevant,Strongly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Moderately agree,Strongly agree,Moderately agree,Moderately disagree,Moderately disagree,Moderately disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Moderately agree,Strongly disagree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Very disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Very disgusting,Slightly disgusting,Extremely disgusting,Moderately disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Very disgusting,Very disgusting,52,82,82,82,83,0,50,50,75,70,100,74,E (Describes me very well),E (Describes me very well),C,A (Does not describe me well),B,C,B,D,E (Describes me very well),E (Describes me very well),D,E (Describes me very well),B,B,D,D,D,A (Does not describe me well),D,D,D,E (Describes me very well),D,B,C,B,C,D
27,Somewhat relevant,Very relevant,Slightly relevant,Slightly relevant,Extremely relevant,Not very relevant,Slightly relevant,Very relevant,Very relevant,Somewhat relevant,Very relevant,Very relevant,Very relevant,Very relevant,Somewhat relevant,Extremely relevant,Moderately agree,Slightly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Strongly agree,Strongly agree,Moderately agree,Slightly disagree,Moderately agree,Moderately agree,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Mildly disagree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Extremely disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,0,60,45,100,40,40,100,100,80,50,100,70,B,B,B,D,C,C,D,D,C,D,D,C,C,D,D,D,D,C,D,C,D,C,C,B,B,C,B,C
28,Extremely relevant,Very relevant,Slightly relevant,Very relevant,Extremely relevant,Not at all relevant,Very relevant,Extremely relevant,Slightly relevant,Slightly relevant,Very relevant,Extremely relevant,Extremely relevant,Slightly relevant,Very relevant,Extremely relevant,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Moderately agree,Strongly agree,Mildly disagree,Mildly agree,Neither agree nor disagree,Strongly disagree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly agree,Moderately disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Slightly disgusting,Moderately disgusting,Very disgusting,Extremely disgusting,Very disgusting,Moderately disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,0,91,83,77,18,60,100,82,100,75,100,72,E (Describes me very well),D,B,C,E (Describes me very well),E (Describes me very well),A (Does not describe me well),E (Describes me very well),E (Describes me very well),D,D,B,D,C,B,D,E (Describes me very well),B,D,C,D,D,E (Describes me very well),A (Does not describe me well),C,E (Describes me very well),A (Does not describe me well),D
29,Extremely relevant,Very relevant,Somewhat relevant,Somewhat relevant,Very relevant,Not very relevant,Extremely relevant,Extremely relevant,Very relevant,Very relevant,Extremely relevant,Extremely relevant,Extremely relevant,Very relevant,Somewhat relevant,Slightly relevant,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Moderately agree,Strongly agree,Strongly agree,Moderately agree,Slightly agree,Strongly disagree,Moderately agree,Strongly agree,Moderately agree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Mildly disagree,Strongly agree,Extremely disgusting,Not disgusting at all,Very disgusting,Not disgusting at all,Very disgusting,Moderately disgusting,Extremely disgusting,Extremely disgusting,Slightly disgusting,Moderately disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,50,36,30,10,74,0,50,59,69,66,85,67,D,D,A (Does not describe me well),A (Does not describe me well),C,D,E (Describes me very well),E (Describes me very well),E (Describes me very well),D,D,A (Does not describe me well),D,B,B,B,D,A (Does not describe me well),E (Describes me very well),B,E (Describes me very well),E (Describes me very well),B,B,D,C,A (Does not describe me well),D
30,Extremely relevant,Very relevant,Somewhat relevant,Slightly relevant,Somewhat relevant,Not at all relevant,Not at all relevant,Slightly relevant,Very relevant,Slightly relevant,Somewhat relevant,Very relevant,Somewhat relevant,Slightly relevant,Very relevant,Not at all relevant,Moderately agree,Strongly agree,Slightly disagree,Moderately agree,Slightly disagree,Moderately agree,Strongly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Moderately disagree,Slightly agree,Moderately disagree,Moderately agree,Slightly agree,Mildly agree,Strongly agree,Mildly disagree,Neither agree nor disagree,Mildly disagree,Mildly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Very disgusting,Extremely disgusting,Moderately disgusting,Very disgusting,Moderately disgusting,Moderately disgusting,Very disgusting,Very disgusting,Slightly disgusting,Very disgusting,Moderately disgusting,Very disgusting,Extremely disgusting,100,21,0,0,0,0,50,3,76,100,100,31,B,D,B,C,D,C,B,D,C,C,E (Describes me very well),C,C,D,B,C,D,C,D,C,E (Describes me very well),C,D,B,B,D,C,E (Describes me very well)
31,Slightly relevant,Somewhat relevant,Slightly relevant,Somewhat relevant,Somewhat relevant,Not at all relevant,Very relevant,Not very relevant,Very relevant,Very relevant,Not at all relevant,Somewhat relevant,Extremely relevant,Very relevant,Not at all relevant,Not at all relevant,Slightly disagree,Moderately agree,Moderately disagree,Moderately agree,Moderately disagree,Strongly agree,Moderately agree,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Moderately agree,Moderately disagree,Slightly disagree,Slightly agree,Strongly disagree,Mildly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Mildly disagree,Neither agree nor disagree,Mildly disagree,Mildly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Mildly disagree,Mildly agree,Not disgusting at all,Not disgusting at all,Slightly disgusting,Not disgusting at all,Not disgusting at all,Slightly disgusting,Very disgusting,Slightly disgusting,Moderately disgusting,Slightly disgusting,Very disgusting,Not disgusting at all,Not disgusting at all,92,8,74,51,65,29,90,84,94,43,94,64,D,B,A (Does not describe me well),E (Describes me very well),C,A (Does not describe me well),B,E (Describes me very well),C,D,D,A (Does not describe me well),C,E (Describes me very well),D,D,D,D,E (Describes me very well),D,E (Describes me very well),A (Does not describe me well),D,A (Does not describe me well),B,E (Describes me very well),A (Does not describe me well),B
32,Very relevant,Very relevant,Not very relevant,Slightly relevant,Extremely relevant,Not at all relevant,Very relevant,Extremely relevant,Not very relevant,Not very relevant,Very relevant,Extremely relevant,Extremely relevant,Not very relevant,Not very relevant,Not very relevant,Moderately agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly disagree,Moderately agree,Mildly disagree,Mildly disagree,Mildly agree,Strongly agree,Mildly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Mildly disagree,Strongly agree,Strongly agree,Strongly disagree,Extremely disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Not disgusting at all,Moderately disgusting,Moderately disgusting,Very disgusting,Not disgusting at all,Slightly disgusting,Moderately disgusting,Not disgusting at all,Slightly disgusting,70,80,50,50,35,85,0,25,100,60,100,60,E (Describes me very well),D,B,D,E (Describes me very well),A (Does not describe me well),A (Does not describe me well),C,D,A (Does not describe me well),C,A (Does not describe me well),D,B,E (Describes me very well),E (Describes me very well),B,B,D,D,D,D,E (Describes me very well),A (Does not describe me well),C,E (Describes me very well),A (Does not describe me well),D
33,Extremely relevant,Very relevant,Not at all relevant,Not very relevant,Somewhat relevant,Not at all relevant,Extremely relevant,Somewhat relevant,Not at all relevant,Not at all relevant,Somewhat relevant,Extremely relevant,Extremely relevant,Not at all relevant,Not very relevant,Not at all relevant,Moderately agree,Strongly agree,Strongly disagree,Moderately disagree,Slightly agree,Slightly agree,Strongly agree,Moderately agree,Strongly disagree,Strongly disagree,Moderately agree,Moderately disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Strongly disagree,Strongly agree,Mildly agree,Strongly disagree,Mildly agree,Mildly disagree,Strongly disagree,Strongly agree,Strongly agree,Extremely disgusting,Not disgusting at all,Slightly disgusting,Slightly disgusting,Extremely disgusting,Moderately disgusting,Extremely disgusting,Very disgusting,Very disgusting,Slightly disgusting,Not disgusting at all,Not disgusting at all,Very disgusting,98,62,23,0,43,0,0,0,79,63,0,0,A (Does not describe me well),D,C,E (Describes me very well),B,A (Does not describe me well),D,C,C,A (Does not describe me well),C,D,D,E (Describes me very well),D,A (Does not describe me well),A (Does not describe me well),D,E (Describes me very well),C,C,B,A (Does not describe me well),A (Does not describe me well),C,A (Does not describe me well),A (Does not describe me well),B
34,Very relevant,Very relevant,Not at all relevant,Very relevant,Slightly relevant,Not at all relevant,Somewhat relevant,Very relevant,Somewhat relevant,Slightly relevant,Slightly relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Slightly relevant,Not at all relevant,Moderately agree,Strongly agree,Moderately agree,Moderately agree,Slightly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Moderately disagree,Moderately disagree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Strongly disagree,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly disagree,Strongly agree,Strongly disagree,Strongly disagree,Extremely disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Slightly disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,Slightly disgusting,Slightly disgusting,90,29,13,41,86,10,50,50,87,78,80,3,D,D,B,C,E (Describes me very well),B,C,D,D,C,E (Describes me very well),A (Does not describe me well),D,B,B,D,C,B,D,B,E (Describes me very well),C,E (Describes me very well),A (Does not describe me well),D,E (Describes me very well),B,D
35,Slightly relevant,Somewhat relevant,Not at all relevant,Not very relevant,Somewhat relevant,Very relevant,Somewhat relevant,Somewhat relevant,Not very relevant,Not very relevant,Somewhat relevant,Extremely relevant,Extremely relevant,Slightly relevant,Slightly relevant,Not at all relevant,Slightly disagree,Slightly agree,Moderately disagree,Slightly disagree,Moderately disagree,Moderately agree,Strongly agree,Slightly agree,Slightly disagree,Strongly disagree,Moderately disagree,Slightly disagree,Moderately agree,Slightly agree,Slightly agree,Moderately disagree,Mildly disagree,Strongly disagree,Mildly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Mildly agree,Mildly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Moderately disgusting,Not disgusting at all,Slightly disgusting,Slightly disgusting,Moderately disgusting,Slightly disgusting,Slightly disgusting,Very disgusting,Slightly disgusting,Slightly disgusting,Moderately disgusting,Very disgusting,Not disgusting at all,74,77,77,6,91,5,4,5,80,79,78,7,D,B,B,B,B,B,B,C,B,C,C,C,B,C,C,A (Does not describe me well),B,C,E (Describes me very well),B,C,B,B,A (Does not describe me well),C,C,C,C
36,Extremely relevant,Extremely relevant,Somewhat relevant,Somewhat relevant,Extremely relevant,Not very relevant,Somewhat relevant,Very relevant,Very relevant,Not very relevant,Very relevant,Extremely relevant,Extremely relevant,Very relevant,Extremely relevant,Not at all relevant,Strongly agree,Strongly agree,Moderately agree,Slightly disagree,Slightly disagree,Moderately agree,Strongly agree,Strongly agree,Moderately disagree,Strongly agree,Strongly disagree,Moderately disagree,Moderately disagree,Strongly disagree,Moderately disagree,Strongly disagree,Mildly agree,Strongly disagree,Mildly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Mildly disagree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Extremely disgusting,Not disgusting at all,Very disgusting,Moderately disgusting,Moderately disgusting,Very disgusting,Very disgusting,Extremely disgusting,Moderately disgusting,Slightly disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,50,38,83,50,100,8,50,60,50,50,100,70,D,E (Describes me very well),B,C,C,C,B,D,D,C,E (Describes me very well),A (Does not describe me well),E (Describes me very well),B,D,E (Describes me very well),D,A (Does not describe me well),D,E (Describes me very well),E (Describes me very well),E (Describes me very well),D,C,E (Describes me very well),D,C,C
37,Very relevant,Very relevant,Somewhat relevant,Very relevant,Very relevant,Not at all relevant,Very relevant,Very relevant,Very relevant,Not very relevant,Somewhat relevant,Very relevant,Very relevant,Very relevant,Very relevant,Very relevant,Moderately agree,Moderately agree,Moderately disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Moderately agree,Slightly agree,Moderately disagree,Slightly agree,Moderately agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Neither agree nor disagree,Mildly disagree,Mildly disagree,Mildly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Mildly disagree,Mildly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Mildly disagree,Mildly agree,Moderately disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Moderately disgusting,Moderately disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,Not disgusting at all,Slightly disgusting,11,50,52,80,52,10,80,66,90,90,88,58,C,D,B,B,C,C,C,C,D,C,D,B,C,D,C,C,C,B,C,D,D,D,C,C,C,C,B,C
38,Extremely relevant,Extremely relevant,Not very relevant,Not very relevant,Slightly relevant,Not at all relevant,Extremely relevant,Very relevant,Very relevant,Not very relevant,Not very relevant,Extremely relevant,Extremely relevant,Very relevant,Somewhat relevant,Not at all relevant,Strongly agree,Strongly agree,Moderately disagree,Slightly agree,Strongly disagree,Moderately agree,Moderately agree,Moderately agree,Strongly disagree,Slightly agree,Strongly disagree,Slightly agree,Moderately disagree,Moderately disagree,Moderately disagree,Strongly disagree,Mildly disagree,Mildly disagree,Strongly disagree,Mildly agree,Mildly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Mildly agree,Strongly disagree,Moderately disgusting,Not disgusting at all,Slightly disgusting,Slightly disgusting,Slightly disgusting,Not disgusting at all,Moderately disgusting,Slightly disgusting,Not disgusting at all,Not disgusting at all,Slightly disgusting,Not disgusting at all,Slightly disgusting,83,37,30,35,23,24,28,32,44,33,96,57,E (Describes me very well),C,B,C,C,B,B,E (Describes me very well),E (Describes me very well),B,D,A (Does not describe me well),A (Does not describe me well),B,C,C,D,B,B,C,D,C,D,B,E (Describes me very well),C,A (Does not describe me well),C
39,Extremely relevant,Extremely relevant,Not very relevant,Somewhat relevant,Very relevant,Not at all relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Slightly relevant,Very relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Somewhat relevant,Extremely relevant,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Moderately agree,Strongly agree,Moderately disagree,Strongly agree,Slightly agree,Moderately disagree,Strongly agree,Moderately agree,Strongly agree,Slightly agree,Moderately disagree,Strongly agree,Strongly disagree,Mildly agree,Mildly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Mildly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Extremely disgusting,Not disgusting at all,Very disgusting,Slightly disgusting,Extremely disgusting,Extremely disgusting,Extremely disgusting,Extremely disgusting,Extremely disgusting,Extremely disgusting,Extremely disgusting,Very disgusting,Extremely disgusting,10,30,40,10,60,10,100,50,80,50,100,10,E (Describes me very well),E (Describes me very well),B,A (Does not describe me well),C,D,A (Does not describe me well),D,D,D,D,A (Does not describe me well),B,A (Does not describe me well),C,D,D,A (Does not describe me well),B,E (Describes me very well),E (Describes me very well),E (Describes me very well),D,D,B,E (Describes me very well),B,C
41,Very relevant,Extremely relevant,Not very relevant,Not very relevant,Extremely relevant,Not at all relevant,Somewhat relevant,Extremely relevant,Somewhat relevant,Slightly relevant,Extremely relevant,Extremely relevant,Extremely relevant,Somewhat relevant,Somewhat relevant,Not at all relevant,Slightly agree,Moderately agree,Moderately disagree,Moderately disagree,Strongly agree,Strongly agree,Moderately agree,Moderately agree,Slightly agree,Slightly disagree,Moderately disagree,Strongly agree,Moderately disagree,Moderately disagree,Slightly agree,Moderately disagree,Neither agree nor disagree,Strongly agree,Mildly agree,Mildly disagree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very disgusting,Not disgusting at all,Slightly disgusting,Slightly disgusting,Moderately disgusting,Moderately disgusting,Extremely disgusting,Slightly disgusting,Slightly disgusting,Not disgusting at all,Slightly disgusting,Moderately disgusting,Slightly disgusting,60,100,56,46,30,50,21,49,78,50,49,21,E (Describes me very well),D,B,B,E (Describes me very well),B,B,E (Describes me very well),E (Describes me very well),A (Does not describe me well),D,A (Does not describe me well),C,C,B,C,B,A (Does not describe me well),E (Describes me very well),D,E (Describes me very well),D,D,A (Does not describe me well),E (Describes me very well),E (Describes me very well),B,E (Describes me very well)
